	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
137	Pgf	76.3711554009914	-3.78629585575618	0.578620513056025	-6.54365991236397	6.00312283797359e-11	6.527743572944321e-09
139	Acsl6	27.4360770188762	-4.29740346077719	0.66139352905847	-6.49749849668893	8.16665084200414e-11	8.75348303822243e-09
140	Klk1b24	52.7150020052841	-3.92874440850368	0.606094248973905	-6.4820684491808	9.047357414903539e-11	9.62869825305266e-09
141	Scn4b	168.168415904565	-4.42228924659522	0.683163483495481	-6.47325179614123	9.59159142671724e-11	1.01360155598112e-08
142	Kif22	89.9924695306316	3.12880786918184	0.483624791206087	6.46949438092094	9.83313869249134e-11	1.03186069384283e-08
143	Tmem54	67.9783580490725	8.24790511470024	1.27702110693323	6.45870696257138	1.05601370025961e-10	1.1004542768122e-08
144	C3ar1	284.633573812502	2.7863473831509	0.432581012311	6.44121518016995	1.18520695862361e-10	1.22656659455902e-08
145	Kcnh2	94.0559891148273	2.76003901987153	0.42926609765453	6.42966923069893	1.2788191423024901e-10	1.31438082530076e-08
146	Smpdl3a	1273.29810101362	-1.99313548197014	0.310100753525617	-6.42738032497393	1.29821727530838e-10	1.32524139001889e-08
147	Vwa3b	33.5888440237098	-3.2681896538303	0.509584762281688	-6.41343677388789	1.42275136969783e-10	1.43184804936739e-08
148	Cela3b	223471.083027221	-3.56328592397855	0.555670304506634	-6.41259015477227	1.4306776634583301e-10	1.43184804936739e-08
149	Lgals12	171.974589694251	-2.00779445995022	0.31310505554271	-6.41252648083268	1.43127553915172e-10	1.43184804936739e-08
150	Slc22a1	60.54579894651	4.87917374067943	0.761385312877638	6.40828455468718	1.47166050695138e-10	1.46249917664321e-08
151	Kel	144.374895261095	4.15694675974497	0.650416413826158	6.39120826501163	1.64580038524059e-10	1.62479477506054e-08
152	Gm20501	25.8938611862501	-4.2538355571292	0.666257522708162	-6.38467171047986	1.71765551421115e-10	1.68464958472238e-08
154	Pdcd4	1568.99366303031	-1.89450254582442	0.297458936998964	-6.3689548713442	1.90320592414633e-10	1.8425489095316e-08
155	Amy2a3	34.1042338547825	-5.06898965260803	0.797565387789713	-6.35557877788012	2.0764330048229902e-10	1.99736882502396e-08
156	Pgap6	462.295125991575	-1.93497863998628	0.305604885494012	-6.33163516629773	2.42576529386709e-10	2.31853719743755e-08
157	Aurka	130.61727117263	2.3021704710293	0.36411560104201	6.32263617499786	2.5713824376816004e-10	2.43472405396334e-08
158	Lrrn1	251.118563659654	-2.16557981003232	0.342539438333266	-6.32213277562908	2.57977558696636e-10	2.43472405396334e-08
159	Epdr1	109.100107367772	2.49864724494626	0.39604697990758	6.30896679360952	2.80904373296868e-10	2.634531891058e-08
160	Nipal2	459.616946455081	-1.9833375106217	0.315078223604117	-6.29474639007006	3.0790284342099803e-10	2.8698074958854e-08
161	Homer2	702.061756681666	-2.38675132742308	0.380036656502935	-6.28031871816197	3.37879647289547e-10	3.12976665878206e-08
162	Unc5a	193.061162764004	-2.76746277855634	0.440790278370726	-6.27841155840732	3.42049505923212e-10	3.14895391772008e-08
163	Sostdc1	566.237108440404	-3.31137098348104	0.528246598110732	-6.26860825100268	3.64289331595694e-10	3.3332473841006e-08
